,"Площадь
территории, 
тыс. км2","Численность 
 населения 
на 1 января 
2021 г., 
тыс. человек","Средне-
годовая численность
занятых, 
тыс. человек","Средне-
душевые денежные доходы 
(в месяц), руб.","Потреби-
тельские расходы
в среднем 
на душу населения 
(в месяц), руб.
","Средне-
месячная 
номиналь-
ная начис-
ленная 
заработная плата работников организаций, руб.","Валовой 
региональ-
ный
 продукт 
в 2019 г. ,
млрд руб.","Инвестиции 
в основной 
капитал, 
млрд руб.","Основные 
фонды в экономике 
(по полной учетной стоимости; на конец года),
млрд руб.","Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, 
млрд руб.",,,,"Продукция 
сельского 
хозяйства - 
всего,
млрд руб.",в том числе,,"Ввод 
в действие 
жилых домов,
тыс. м2 
общей 
площади 
жилых 
помещений","Оборот 
розничной 
торговли, 
млрд руб.
","Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5), 
млрд руб."
,,,,,,,,,,"добыча 
полезных 
ископаемых","обрабаты-
вающие производства","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,"растение-
водства","животно-
водства",,,
Красноярский край,"2 366,8","2 855,9","1 363,9",32 832,24 070,54 426,"2 692,2","478,6","6 591,2","635,6","1 727,2","174,5","33,8","106,0","51,5","54,5","1 307,1","563,3","1 031,4"
Иркутская область,"774,8","2 375,0","1 051,5",27 571,19 410,49 885,"1 545,7","395,3","4 294,4","533,7","531,6","131,2","21,4","67,0","24,5","42,5","1 105,9","392,9","288,5"
Кемеровская область,"95,7","2 633,4","1 146,5",25 433,18 792,43 429,"1 110,4","276,7","4 266,7","722,4","621,9","101,5","69,9","60,6","34,5","26,1","824,5","404,9","-28,0"
Новосибирская область ,"177,8","2 785,8","1 288,2",31 563,23 479,41 534,"1 409,2","263,9","4 985,9","51,5","564,1","68,7","23,8","106,3","51,3","55,0","1 944,4","550,1","92,5"
Омская область,"141,1","1 903,7","876,6",27 354,22 079,37 828,"773,0","210,5","2 034,4","2,1","865,4","53,2","13,7","101,1","57,4","43,7","541,2","355,8","41,0"
Томская область,"314,4","1 070,3","479,1",28 857,21 338,48 730,"622,8","101,2","1 723,1","115,2","199,0","31,9","8,8","34,5","10,8","23,7","451,5","174,5","18,2"
Дальневосточный федеральный округ,"6 952,6","8 124,0","3 898,6",39 051,28 748,60 358,"5 971,6","1 551,1","21 745,9","2 053,7","1 343,1","382,9","47,9","216,1","112,5","103,6","2 554,7","1 906,7","585,4"
,,,,,,,,,,,,,,,,,,,
Республика Бурятия,"351,3","985,4","352,8",26 092,22 031,41 800,"285,8","71,2","1 232,2","48,8","97,8","26,6","3,2","17,1","5,9","11,2","275,8","196,9","26,8"
Республика Саха (Якутия),"3 083,5","982,0","492,4",46 338,32 297,77 178,"1 220,3","221,7","3 956,6","823,7","34,0","72,4","7,2","26,5","7,6","18,9","530,0","244,9","227,6"
Забайкальский край,"431,9","1 053,5","452,5",27 046,19 463,47 172,"364,6","125,4","1 656,3","171,6","29,0","34,9","4,0","23,2","6,3","16,9","180,4","174,1","26,6"
Камчатский край,"464,3","311,7","167,0",55 373,33 725,85 623,"279,7","59,9","864,0","30,6","123,0","22,3","3,0","10,0","4,0","6,0","68,1","63,2","33,1"
Приморский край,"164,7","1 877,8","924,7",37 304,27 916,50 105,"1 066,7","184,7","3 657,6","24,0","239,0","69,3","11,0","44,6","29,2","15,4","650,4","434,7","70,4"
Хабаровский край ,"787,6","1 301,1","666,5",41 740,34 158,53 113,"803,0","237,9","3 079,3","27,6","406,8","57,9","9,5","18,2","9,5","8,7","229,3","363,7","27,9"
Амурская область,"361,9","781,9","381,2",35 499,27 298,52 430,"412,5","343,4","2 160,0","116,7","39,1","43,0","3,5","53,9","37,8","16,1","156,1","192,7","-40,5"
Магаданская область,"462,5","139,0","88,8",70 864,35 638,102 843,"213,6","44,4","497,8",…7),"209,9","18,2",…7),"2,8","1,5","1,3","9,0","34,3","78,4"
Сахалинская область,"87,1","485,6","275,4",60 770,43 512,92 518,"1 173,9","215,0","4 032,6","731,9","65,9","19,9","4,1","13,9","7,3","6,6","439,8","165,0","83,5"
Еврейская автономная,"36,3","156,5","63,9",28 048,21 006,46 237,"56,6","15,8","361,0",…7),"5,5","5,0",…7),"4,4","3,3","1,1","14,1","26,5","-0,9"
область,,,,,,,,,,,,,,,,,,,
Чукотский автономный округ,"721,5","49,5","33,5",89 541,30 869,120 641,"94,9","31,6","248,5","23,1","93,2","13,6","0,6","1,6","0,2","1,4","1,7","10,8","52,5"
